user,SQL_Query,Python_Query,Converted
user1,Select * from Table0,"pd.read_csv(""random_file0"")",
user2,Select * from Table1,"pd.read_csv(""random_file1"")",
user3,Select * from Table2,"pd.read_csv(""random_file2"")",
user4,Select * from Table3,"pd.read_csv(""random_file3"")",
user5,Select * from Table4,"pd.read_csv(""random_file4"")",
user6,Select * from Table5,"pd.read_csv(""random_file5"")",
user7,Select * from Table6,"pd.read_csv(""random_file6"")",
user8,Select * from Table7,"pd.read_csv(""random_file7"")",
user9,Select * from Table8,"pd.read_csv(""random_file8"")",
user10,Select * from Table9,"pd.read_csv(""random_file9"")",
user11,Select * from Table10,"pd.read_csv(""random_file10"")",
user12,Select * from Table11,"pd.read_csv(""random_file11"")",
user13,Select * from Table12,"pd.read_csv(""random_file12"")",
user14,Select * from Table13,"pd.read_csv(""random_file13"")",
user15,Select * from Table14,"pd.read_csv(""random_file14"")",
user16,Select * from Table15,"pd.read_csv(""random_file15"")",
user17,Select * from Table16,"pd.read_csv(""random_file16"")",
user18,Select * from Table17,"pd.read_csv(""random_file17"")",
user19,Select * from Table18,"pd.read_csv(""random_file18"")",
user20,Select * from Table19,"pd.read_csv(""random_file19"")",
user21,Select * from Table20,"pd.read_csv(""random_file20"")",
user22,Select * from Table21,"pd.read_csv(""random_file21"")",
user23,Select * from Table22,"pd.read_csv(""random_file22"")",
user24,Select * from Table23,"pd.read_csv(""random_file23"")",
user25,Select * from Table24,"pd.read_csv(""random_file24"")",
user26,Select * from Table25,"pd.read_csv(""random_file25"")",
user27,Select * from Table26,"pd.read_csv(""random_file26"")",
user28,Select * from Table27,"pd.read_csv(""random_file27"")",
user29,Select * from Table28,"pd.read_csv(""random_file28"")",
user30,Select * from Table29,"pd.read_csv(""random_file29"")",
user1,Select * from Table30,"pd.read_csv(""random_file30"")",
user2,Select * from Table31,"pd.read_csv(""random_file31"")",
user3,Select * from Table32,"pd.read_csv(""random_file32"")",
user4,Select * from Table33,"pd.read_csv(""random_file33"")",
user5,Select * from Table34,"pd.read_csv(""random_file34"")",
user6,Select * from Table35,"pd.read_csv(""random_file35"")",
user7,Select * from Table36,"pd.read_csv(""random_file36"")",
user8,Select * from Table37,"pd.read_csv(""random_file37"")",
user9,Select * from Table38,"pd.read_csv(""random_file38"")",
user10,Select * from Table39,"pd.read_csv(""random_file39"")",
user11,Select * from Table40,"pd.read_csv(""random_file40"")",
user12,Select * from Table41,"pd.read_csv(""random_file41"")",
user13,Select * from Table42,"pd.read_csv(""random_file42"")",
user14,Select * from Table43,"pd.read_csv(""random_file43"")",
user15,Select * from Table44,"pd.read_csv(""random_file44"")",
user16,Select * from Table45,"pd.read_csv(""random_file45"")",
user17,Select * from Table46,"pd.read_csv(""random_file46"")",
user18,Select * from Table47,"pd.read_csv(""random_file47"")",
user19,Select * from Table48,"pd.read_csv(""random_file48"")",
user20,Select * from Table49,"pd.read_csv(""random_file49"")",
user21,Select * from Table50,"pd.read_csv(""random_file50"")",
user22,Select * from Table51,"pd.read_csv(""random_file51"")",
user23,Select * from Table52,"pd.read_csv(""random_file52"")",
user24,Select * from Table53,"pd.read_csv(""random_file53"")",
user25,Select * from Table54,"pd.read_csv(""random_file54"")",
user26,Select * from Table55,"pd.read_csv(""random_file55"")",
user27,Select * from Table56,"pd.read_csv(""random_file56"")",
user28,Select * from Table57,"pd.read_csv(""random_file57"")",
user29,Select * from Table58,"pd.read_csv(""random_file58"")",
user30,Select * from Table59,"pd.read_csv(""random_file59"")",
user1,Select * from Table60,"pd.read_csv(""random_file60"")",
user2,Select * from Table61,"pd.read_csv(""random_file61"")",
user3,Select * from Table62,"pd.read_csv(""random_file62"")",
user4,Select * from Table63,"pd.read_csv(""random_file63"")",
user5,Select * from Table64,"pd.read_csv(""random_file64"")",
user6,Select * from Table65,"pd.read_csv(""random_file65"")",
user7,Select * from Table66,"pd.read_csv(""random_file66"")",
user8,Select * from Table67,"pd.read_csv(""random_file67"")",
user9,Select * from Table68,"pd.read_csv(""random_file68"")",
user10,Select * from Table69,"pd.read_csv(""random_file69"")",
user11,Select * from Table70,"pd.read_csv(""random_file70"")",
user12,Select * from Table71,"pd.read_csv(""random_file71"")",
user13,Select * from Table72,"pd.read_csv(""random_file72"")",
user14,Select * from Table73,"pd.read_csv(""random_file73"")",
user15,Select * from Table74,"pd.read_csv(""random_file74"")",
user16,Select * from Table75,"pd.read_csv(""random_file75"")",
user17,Select * from Table76,"pd.read_csv(""random_file76"")",
user18,Select * from Table77,"pd.read_csv(""random_file77"")",
user19,Select * from Table78,"pd.read_csv(""random_file78"")",
user20,Select * from Table79,"pd.read_csv(""random_file79"")",
user21,Select * from Table80,"pd.read_csv(""random_file80"")",
user22,Select * from Table81,"pd.read_csv(""random_file81"")",
user23,Select * from Table82,"pd.read_csv(""random_file82"")",
user24,Select * from Table83,"pd.read_csv(""random_file83"")",
user25,Select * from Table84,"pd.read_csv(""random_file84"")",
user26,Select * from Table85,"pd.read_csv(""random_file85"")",
user27,Select * from Table86,"pd.read_csv(""random_file86"")",
user28,Select * from Table87,"pd.read_csv(""random_file87"")",
user29,Select * from Table88,"pd.read_csv(""random_file88"")",
user30,Select * from Table89,"pd.read_csv(""random_file89"")",
